Inventory Number	Quantity	Quantity Update Type	Seller Cost	DC Quantity
A+1:15498290000:D	225	Unshipped		Long Beach=225
A+1:15493800000:D	126	Unshipped		Long Beach=126
A+1:15493780000:D	888	Unshipped		Long Beach=888
A+1:15493840000:D	635	Unshipped		Long Beach=635
A+1:15493820000:D	295	Unshipped		Long Beach=295
A+1:15493740000:D	114	Unshipped		Long Beach=114
A+1:15493790000:D	726	Unshipped		Long Beach=726
A+1:15493830000:D	133	Unshipped		Long Beach=133
A+1:15493770000:D	67	Unshipped		Long Beach=67
A+1:15493700000:D	43	Unshipped		Long Beach=43
A+1:15493630000:D	221	Unshipped		Long Beach=221
A+1:15498280000:D	708	Unshipped		Long Beach=708
A+1:15493750000:D	234	Unshipped		Long Beach=234
A+1:15493670000:D	243	Unshipped		Long Beach=243
A+1:15493610000:D	676	Unshipped		Long Beach=676
A+1:15493560000:D	725	Unshipped		Long Beach=725
A+1:15493810000:D	405	Unshipped		Long Beach=405
A+1:15493720000:D	512	Unshipped		Long Beach=512
A+1:15493650000:D	584	Unshipped		Long Beach=584
A+1:15494410000:D	525	Unshipped		Long Beach=525
A+1:15493660000:D	255	Unshipped		Long Beach=255
A+1:15493640000:D	167	Unshipped		Long Beach=167
A+1:15493910000:D	340	Unshipped		Long Beach=340
A+1:15493590000:D	3	Unshipped		Long Beach=3
A+1:15493600000:D	240	Unshipped		Long Beach=240
A+1:15493620000:D	0	Unshipped		Long Beach=0
A+1:15493580000:D	231	Unshipped		Long Beach=231
A+1:15493570000:D	258	Unshipped		Long Beach=258
A+1:15493540000:D	460	Unshipped		Long Beach=460
A+1:15497420000:D	152	Unshipped		Long Beach=152
A+1:15497310000:D	38	Unshipped		Long Beach=38
A+1:15497440000:D	204	Unshipped		Long Beach=204
A+1:15497450000:D	218	Unshipped		Long Beach=218
A+1:15497400000:D	55	Unshipped		Long Beach=55
A+1:15497180000:D	325	Unshipped		Long Beach=325
A+1:15497290000:D	201	Unshipped		Long Beach=201
A+1:15497470000:D	109	Unshipped		Long Beach=109
A+1:15497370000:D	307	Unshipped		Long Beach=307
A+1:15497240000:D	1	Unshipped		Long Beach=1
A+1:15497430000:D	0	Unshipped		Long Beach=0
A+1:15497340000:D	137	Unshipped		Long Beach=137
A+1:15497350000:D	602	Unshipped		Long Beach=602
A+1:15497210000:D	65	Unshipped		Long Beach=65
A+1:15497380000:D	0	Unshipped		Long Beach=0
A+1:15497300000:D	0	Unshipped		Long Beach=0
A+1:15497160000:D	10	Unshipped		Long Beach=10
A+1:15497270000:D	24	Unshipped		Long Beach=24
A+1:15497150000:D	0	Unshipped		Long Beach=0
