Inverntory Number        DC Quantity
A+1:2137493:D        Long Beach=40
A+1:2185143:D        Long Beach=40
A+1:2137143:D        Long Beach=0
A+1:2185153:D        Long Beach=0
A+1:2202443:D        Long Beach=40
A+1:2137133:D        Long Beach=40
A+1:2185163:D        Long Beach=40
A+1:2137503:D        Long Beach=0
A+1:2185173:D        Long Beach=40
A+1:2196653:D        Long Beach=0
A+1:2137343:D        Long Beach=0
A+1:2185183:D        Long Beach=40
A+1:2137513:D        Long Beach=0
A+1:2185193:D        Long Beach=40
A+1:2137153:D        Long Beach=21
A+1:2185203:D        Long Beach=40
A+1:2137183:D        Long Beach=0
A+1:2185213:D        Long Beach=40
A+1:2137463:D        Long Beach=40
A+1:2185223:D        Long Beach=40
A+1:2137163:D        Long Beach=0
A+1:2185243:D        Long Beach=40
A+1:2157093:D        Long Beach=0
A+1:2185233:D        Long Beach=1
A+1:2137193:D        Long Beach=0
A+1:2185253:D        Long Beach=40
A+1:2137413:D        Long Beach=0
A+1:2185263:D        Long Beach=40
A+1:2137203:D        Long Beach=0
A+1:2185273:D        Long Beach=40
A+1:2137213:D        Long Beach=0
A+1:2185283:D        Long Beach=40
A+1:2137303:D        Long Beach=13
A+1:2185293:D        Long Beach=40
A+1:2137233:D        Long Beach=0
A+1:2185303:D        Long Beach=8
A+1:2185313:D        Long Beach=2
A+1:2115073:D        Long Beach=0
A+1:2137223:D        Long Beach=40
A+1:2185333:D        Long Beach=40
A+1:2137253:D        Long Beach=0
A+1:2117553:D        Long Beach=40
A+1:2137173:D        Long Beach=18
A+1:2185343:D        Long Beach=40
A+1:2137243:D        Long Beach=40
A+1:2185353:D        Long Beach=40
A+1:2137533:D        Long Beach=40
A+1:2185363:D        Long Beach=40
A+1:2137333:D        Long Beach=0
A+1:2185373:D        Long Beach=40
A+1:2137263:D        Long Beach=0
A+1:2185383:D        Long Beach=40
A+1:2137283:D        Long Beach=0
A+1:2185393:D        Long Beach=40
A+1:2137273:D        Long Beach=0
A+1:2185403:D        Long Beach=40
A+1:2137423:D        Long Beach=0
A+1:2185413:D        Long Beach=40
A+1:2137313:D        Long Beach=0
A+1:2185423:D        Long Beach=40
A+1:2137393:D        Long Beach=40
A+1:2185433:D        Long Beach=40
A+1:2137353:D        Long Beach=0
A+1:2185443:D        Long Beach=40
A+1:2137593:D        Long Beach=0
A+1:2185453:D        Long Beach=0
A+1:2137363:D        Long Beach=33
A+1:2185463:D        Long Beach=40
A+1:2137323:D        Long Beach=0
A+1:2185473:D        Long Beach=40
A+1:2137563:D        Long Beach=0
A+1:2176233:D        Long Beach=0
A+1:2185493:D        Long Beach=40
A+1:2137293:D        Long Beach=0
A+1:2185503:D        Long Beach=40
A+1:2137403:D        Long Beach=0
A+1:2185513:D        Long Beach=40
A+1:2185523:D        Long Beach=40
A+1:2137473:D        Long Beach=0
A+1:2185533:D        Long Beach=40
A+1:2137523:D        Long Beach=0
A+1:2185543:D        Long Beach=40
A+1:2137543:D        Long Beach=40
A+1:2185553:D        Long Beach=40
A+1:2137383:D        Long Beach=0
A+1:2185563:D        Long Beach=40
A+1:2137573:D        Long Beach=0
A+1:2185573:D        Long Beach=40
A+1:2137603:D        Long Beach=0
A+1:2185583:D        Long Beach=40
A+1:2137373:D        Long Beach=0
A+1:2185593:D        Long Beach=40
A+1:2137553:D        Long Beach=0
A+1:2185603:D        Long Beach=40
A+1:2137583:D        Long Beach=0
A+1:2185613:D        Long Beach=40
A+1:2185623:D        Long Beach=40
A+1:2137483:D        Long Beach=40
A+1:2185633:D        Long Beach=40
A+1:2137433:D        Long Beach=0
A+1:2185643:D        Long Beach=40
A+1:2137453:D        Long Beach=0
A+1:2185653:D        Long Beach=0
A+1:2137443:D        Long Beach=0
A+1:2185663:D        Long Beach=40
A+1:2185673:D        Long Beach=40
