Inverntory Number	Quantity	Quantity Updated Type	Seller Cost	DC Quantity
A+1:2105933:D	0	Unshipped		Long Beach=0
A+1:2108593:D	40	Unshipped		Long Beach=40
A+1:2105973:D	40	Unshipped		Long Beach=40
A+1:2106743:D	0	Unshipped		Long Beach=0
A+1:2105113:D	40	Unshipped		Long Beach=40
A+1:2107023:D	40	Unshipped		Long Beach=40
A+1:2105903:D	0	Unshipped		Long Beach=0
A+1:2105093:D	0	Unshipped		Long Beach=0
A+1:2106783:D	40	Unshipped		Long Beach=40
A+1:2106463:D	40	Unshipped		Long Beach=40
A+1:2105123:D	40	Unshipped		Long Beach=40
A+1:2107273:D	40	Unshipped		Long Beach=40
A+1:2107523:D	40	Unshipped		Long Beach=40
A+1:2106443:D	40	Unshipped		Long Beach=40
A+1:2105073:D	0	Unshipped		Long Beach=0
A+1:2106413:D	0	Unshipped		Long Beach=0
A+1:2104583:D	40	Unshipped		Long Beach=40
A+1:2105083:D	40	Unshipped		Long Beach=40
A+1:2105063:D	40	Unshipped		Long Beach=40
A+1:2106423:D	40	Unshipped		Long Beach=40
A+1:2106133:D	40	Unshipped		Long Beach=40
A+1:2108323:D	0	Unshipped		Long Beach=0
A+1:2104523:D	40	Unshipped		Long Beach=40
A+1:2108603:D	29	Unshipped		Long Beach=29
A+1:2107193:D	0	Unshipped		Long Beach=0
A+1:2134363:D	17	Unshipped		Long Beach=17
A+1:2107303:D	40	Unshipped		Long Beach=40
A+1:2107283:D	40	Unshipped		Long Beach=40
A+1:2142403:D	35	Unshipped		Long Beach=35
A+1:2134253:D	25	Unshipped		Long Beach=25
A+1:2142413:D	40	Unshipped		Long Beach=40
A+1:2106153:D	40	Unshipped		Long Beach=40
A+1:2169933:D	40	Unshipped		Long Beach=40
A+1:2169933:D	0	Unshipped		Long Beach=0
A+1:2169913:D	40	Unshipped		Long Beach=40
A+1:2169913:D	0	Unshipped		Long Beach=0
A+1:2161753:D	0	Unshipped		Long Beach=0
A+1:2161753:D	40	Unshipped		Long Beach=40
A+1:2160833:D	0	Unshipped		Long Beach=0
A+1:2160833:D	40	Unshipped		Long Beach=40
A+1:2161763:D	0	Unshipped		Long Beach=0
A+1:2161763:D	40	Unshipped		Long Beach=40
A+1:2161843:D	0	Unshipped		Long Beach=0
A+1:2161843:D	0	Unshipped		Long Beach=0
A+1:2169943:D	40	Unshipped		Long Beach=40
A+1:2169943:D	40	Unshipped		Long Beach=40
A+1:2161003:D	0	Unshipped		Long Beach=0
A+1:2161003:D	15	Unshipped		Long Beach=15
A+1:2169923:D	40	Unshipped		Long Beach=40
A+1:2169923:D	0	Unshipped		Long Beach=0
A+1:2160843:D	0	Unshipped		Long Beach=0
A+1:2160843:D	40	Unshipped		Long Beach=40
A+1:2160983:D	0	Unshipped		Long Beach=0
A+1:2160983:D	40	Unshipped		Long Beach=40
A+1:2161773:D	0	Unshipped		Long Beach=0
A+1:2161773:D	40	Unshipped		Long Beach=40
A+1:2161783:D	0	Unshipped		Long Beach=0
A+1:2161783:D	0	Unshipped		Long Beach=0
A+1:2160943:D	0	Unshipped		Long Beach=0
A+1:2160943:D	40	Unshipped		Long Beach=40
A+1:2161333:D	40	Unshipped		Long Beach=40
A+1:2161333:D	0	Unshipped		Long Beach=0
A+1:2161013:D	0	Unshipped		Long Beach=0
A+1:2161013:D	40	Unshipped		Long Beach=40
A+1:2161833:D	42	Unshipped		Long Beach=42
A+1:2161833:D	40	Unshipped		Long Beach=40
A+1:2160993:D	0	Unshipped		Long Beach=0
A+1:2160993:D	40	Unshipped		Long Beach=40
A+1:2161353:D	0	Unshipped		Long Beach=0
A+1:2161353:D	40	Unshipped		Long Beach=40
A+1:2159423:D	0	Unshipped		Long Beach=0
A+1:2163973:D	40	Unshipped		Long Beach=40
A+1:2161413:D	0	Unshipped		Long Beach=0
A+1:2161413:D	40	Unshipped		Long Beach=40
A+1:2161793:D	0	Unshipped		Long Beach=0
A+1:2161793:D	40	Unshipped		Long Beach=40
A+1:2161393:D	0	Unshipped		Long Beach=0
A+1:2161393:D	40	Unshipped		Long Beach=40
A+1:2161543:D	0	Unshipped		Long Beach=0
A+1:2161543:D	40	Unshipped		Long Beach=40
A+1:2161553:D	0	Unshipped		Long Beach=0
A+1:2161553:D	40	Unshipped		Long Beach=40
A+1:2161373:D	0	Unshipped		Long Beach=0
A+1:2161373:D	40	Unshipped		Long Beach=40
A+1:2161343:D	0	Unshipped		Long Beach=0
A+1:2161343:D	24	Unshipped		Long Beach=24
A+1:2161363:D	40	Unshipped		Long Beach=40
A+1:2161363:D	40	Unshipped		Long Beach=40
A+1:2161423:D	0	Unshipped		Long Beach=0
A+1:2161423:D	40	Unshipped		Long Beach=40
A+1:2160973:D	0	Unshipped		Long Beach=0
A+1:2160973:D	40	Unshipped		Long Beach=40
A+1:2161383:D	0	Unshipped		Long Beach=0
A+1:2161383:D	40	Unshipped		Long Beach=40
A+1:2161403:D	36	Unshipped		Long Beach=36
A+1:2161403:D	40	Unshipped		Long Beach=40
A+1:2161533:D	0	Unshipped		Long Beach=0
A+1:2161533:D	40	Unshipped		Long Beach=40
A+1:2169953:D	40	Unshipped		Long Beach=40
A+1:2169953:D	0	Unshipped		Long Beach=0
A+1:2161523:D	0	Unshipped		Long Beach=0
A+1:2161523:D	40	Unshipped		Long Beach=40
A+1:2161803:D	0	Unshipped		Long Beach=0
A+1:2161803:D	0	Unshipped		Long Beach=0
A+1:2160963:D	40	Unshipped		Long Beach=40
A+1:2160963:D	0	Unshipped		Long Beach=0
A+1:2160953:D	0	Unshipped		Long Beach=0
A+1:2160953:D	40	Unshipped		Long Beach=40
A+1:2169963:D	0	Unshipped		Long Beach=0
A+1:2169963:D	40	Unshipped		Long Beach=40
