Inventory Number	Quantity	Quantity Update Type	Seller Cost	DC Quantity
A+1:10039NXK:D	131	Unshipped		Long Beach=131
A+1:10040NXK:D	156	Unshipped		Long Beach=156
A+1:10041NXK:D	0	Unshipped		Long Beach=0
A+1:10047NXK:D	294	Unshipped		Long Beach=294
A+1:10139NXK:D	152	Unshipped		Long Beach=152
A+1:10163NXK:D	383	Unshipped		Long Beach=383
A+1:10179NXK:D	178	Unshipped		Long Beach=178
A+1:10181NXK:D	0	Unshipped		Long Beach=0
A+1:10183NXK:D	0	Unshipped		Long Beach=0
A+1:10184NXK:D	0	Unshipped		Long Beach=0
A+1:10209NXK:D	850	Unshipped		Long Beach=850
A+1:10234NXK:D	380	Unshipped		Long Beach=380
A+1:10239NXK:D	652	Unshipped		Long Beach=652
A+1:10242NXK:D	0	Unshipped		Long Beach=0
A+1:10292NXK:D	0	Unshipped		Long Beach=0
A+1:10305NXK:D	189	Unshipped		Long Beach=189
A+1:10315NXK:D	0	Unshipped		Long Beach=0
A+1:10356NXK:D	54	Unshipped		Long Beach=54
A+1:10372NXK:D	0	Unshipped		Long Beach=0
A+1:10651NXK:D	0	Unshipped		Long Beach=0
A+1:10658NXK:D	299	Unshipped		Long Beach=299
A+1:10667NXK:D	591	Unshipped		Long Beach=591
A+1:10674NXK:D	474	Unshipped		Long Beach=474
A+1:10676NXK:D	40	Unshipped		Long Beach=40
A+1:10692NXK:D	4	Unshipped		Long Beach=4
A+1:10704NXK:D	0	Unshipped		Long Beach=0
A+1:10754NXK:D	60	Unshipped		Long Beach=60
A+1:10783NXK:D	0	Unshipped		Long Beach=0
A+1:10795NXK:D	126	Unshipped		Long Beach=126
A+1:10815NXK:D	2	Unshipped		Long Beach=2
A+1:10850NXK:D	0	Unshipped		Long Beach=0
A+1:10994NXK:D	0	Unshipped		Long Beach=0
A+1:11006NXK:D	72	Unshipped		Long Beach=72
A+1:11010NXK:D	279	Unshipped		Long Beach=279
A+1:11037NXK:D	151	Unshipped		Long Beach=151
A+1:11039NXK:D	64	Unshipped		Long Beach=64
A+1:11041NXK:D	29	Unshipped		Long Beach=29
A+1:11044NXK:D	950	Unshipped		Long Beach=950
A+1:11047NXK:D	0	Unshipped		Long Beach=0
A+1:11049NXK:D	174	Unshipped		Long Beach=174
A+1:11054NXK:D	892	Unshipped		Long Beach=892
A+1:11055NXK:D	329	Unshipped		Long Beach=329
A+1:11056NXK:D	641	Unshipped		Long Beach=641
A+1:11057NXK:D	0	Unshipped		Long Beach=0
A+1:11059NXK:D	76	Unshipped		Long Beach=76
A+1:11060NXK:D	850	Unshipped		Long Beach=850
A+1:11063NXK:D	0	Unshipped		Long Beach=0
A+1:11073NXK:D	850	Unshipped		Long Beach=850
A+1:11074NXK:D	950	Unshipped		Long Beach=950
A+1:11098NXK:D	52	Unshipped		Long Beach=52
A+1:11102NXK:D	380	Unshipped		Long Beach=380
A+1:11103NXK:D	950	Unshipped		Long Beach=950
A+1:11105NXK:D	238	Unshipped		Long Beach=238
A+1:11106NXK:D	267	Unshipped		Long Beach=267
A+1:11107NXK:D	0	Unshipped		Long Beach=0
A+1:11109NXK:D	79	Unshipped		Long Beach=79
A+1:11112NXK:D	0	Unshipped		Long Beach=0
A+1:11151NXK:D	0	Unshipped		Long Beach=0
A+1:11165NXK:D	54	Unshipped		Long Beach=54
A+1:11166NXK:D	156	Unshipped		Long Beach=156
A+1:11167NXK:D	0	Unshipped		Long Beach=0
A+1:11169NXK:D	98	Unshipped		Long Beach=98
A+1:11193NXK:D	144	Unshipped		Long Beach=144
A+1:11194NXK:D	64	Unshipped		Long Beach=64
A+1:11195NXK:D	753	Unshipped		Long Beach=753
A+1:11196NXK:D	407	Unshipped		Long Beach=407
A+1:11197NXK:D	737	Unshipped		Long Beach=737
A+1:11198NXK:D	850	Unshipped		Long Beach=850
A+1:11200NXK:D	128	Unshipped		Long Beach=128
A+1:11201NXK:D	487	Unshipped		Long Beach=487
A+1:11202NXK:D	850	Unshipped		Long Beach=850
A+1:11205NXK:D	850	Unshipped		Long Beach=850
A+1:11206NXK:D	670	Unshipped		Long Beach=670
A+1:11207NXK:D	647	Unshipped		Long Beach=647
A+1:11208NXK:D	850	Unshipped		Long Beach=850
A+1:11209NXK:D	181	Unshipped		Long Beach=181
A+1:11210NXK:D	912	Unshipped		Long Beach=912
A+1:11211NXK:D	550	Unshipped		Long Beach=550
A+1:11212NXK:D	100	Unshipped		Long Beach=100
A+1:11254NXK:D	110	Unshipped		Long Beach=110
A+1:11255NXK:D	501	Unshipped		Long Beach=501
A+1:11256NXK:D	318	Unshipped		Long Beach=318
A+1:11257NXK:D	91	Unshipped		Long Beach=91
A+1:11258NXK:D	218	Unshipped		Long Beach=218
A+1:11259NXK:D	488	Unshipped		Long Beach=488
A+1:11260NXK:D	310	Unshipped		Long Beach=310
A+1:11261NXK:D	987	Unshipped		Long Beach=987
A+1:11262NXK:D	850	Unshipped		Long Beach=850
A+1:11263NXK:D	594	Unshipped		Long Beach=594
A+1:11403NXK:D	751	Unshipped		Long Beach=751
A+1:11404NXK:D	586	Unshipped		Long Beach=586
A+1:11405NXK:D	743	Unshipped		Long Beach=743
A+1:11406NXK:D	176	Unshipped		Long Beach=176
A+1:11407NXK:D	807	Unshipped		Long Beach=807
A+1:11408NXK:D	420	Unshipped		Long Beach=420
A+1:11409NXK:D	643	Unshipped		Long Beach=643
A+1:11411NXK:D	850	Unshipped		Long Beach=850
A+1:11412NXK:D	319	Unshipped		Long Beach=319
A+1:11413NXK:D	152	Unshipped		Long Beach=152
A+1:11449NXK:D	980	Unshipped		Long Beach=980
A+1:11462NXK:D	850	Unshipped		Long Beach=850
A+1:11463NXK:D	0	Unshipped		Long Beach=0
A+1:11472NXK:D	0	Unshipped		Long Beach=0
A+1:11475NXK:D	0	Unshipped		Long Beach=0
A+1:11479NXK:D	174	Unshipped		Long Beach=174
A+1:11480NXK:D	167	Unshipped		Long Beach=167
A+1:11481NXK:D	70	Unshipped		Long Beach=70
A+1:11482NXK:D	389	Unshipped		Long Beach=389
A+1:11483NXK:D	850	Unshipped		Long Beach=850
A+1:11484NXK:D	327	Unshipped		Long Beach=327
A+1:11485NXK:D	209	Unshipped		Long Beach=209
A+1:11501NXK:D	137	Unshipped		Long Beach=137
A+1:11502NXK:D	2	Unshipped		Long Beach=2
A+1:11503NXK:D	485	Unshipped		Long Beach=485
A+1:11576NXK:D	43	Unshipped		Long Beach=43
A+1:11577NXK:D	104	Unshipped		Long Beach=104
A+1:11583NXK:D	0	Unshipped		Long Beach=0
A+1:11590NXK:D	799	Unshipped		Long Beach=799
A+1:11714NXK:D	551	Unshipped		Long Beach=551
A+1:11716NXK:D	850	Unshipped		Long Beach=850
A+1:11720NXK:D	850	Unshipped		Long Beach=850
A+1:11725NXK:D	850	Unshipped		Long Beach=850
A+1:11726NXK:D	0	Unshipped		Long Beach=0
A+1:11729NXK:D	246	Unshipped		Long Beach=246
A+1:11730NXK:D	882	Unshipped		Long Beach=882
A+1:11740NXK:D	300	Unshipped		Long Beach=300
A+1:11766NXK:D	850	Unshipped		Long Beach=850
A+1:11811NXK:D	0	Unshipped		Long Beach=0
A+1:11812NXK:D	0	Unshipped		Long Beach=0
A+1:11813NXK:D	0	Unshipped		Long Beach=0
A+1:11814NXK:D	0	Unshipped		Long Beach=0
A+1:11816NXK:D	0	Unshipped		Long Beach=0
A+1:11821NXK:D	24	Unshipped		Long Beach=24
A+1:11822NXK:D	0	Unshipped		Long Beach=0
A+1:11824NXK:D	0	Unshipped		Long Beach=0
A+1:11860NXK:D	0	Unshipped		Long Beach=0
A+1:11866NXK:D	0	Unshipped		Long Beach=0
A+1:11883NXK:D	0	Unshipped		Long Beach=0
A+1:11897NXK:D	0	Unshipped		Long Beach=0
A+1:12046NXK:D	312	Unshipped		Long Beach=312
A+1:12050NXK:D	0	Unshipped		Long Beach=0
A+1:12092NXK:D	0	Unshipped		Long Beach=0
A+1:12096NXK:D	1	Unshipped		Long Beach=1
A+1:12154NXK:D	47	Unshipped		Long Beach=47
A+1:12160NXK:D	106	Unshipped		Long Beach=106
A+1:12163NXK:D	35	Unshipped		Long Beach=35
A+1:12164NXK:D	0	Unshipped		Long Beach=0
A+1:12185NXK:D	5	Unshipped		Long Beach=5
A+1:12187NXK:D	0	Unshipped		Long Beach=0
A+1:12188NXK:D	80	Unshipped		Long Beach=80
A+1:12189NXK:D	83	Unshipped		Long Beach=83
A+1:12191NXK:D	0	Unshipped		Long Beach=0
A+1:12192NXK:D	54	Unshipped		Long Beach=54
A+1:12194NXK:D	0	Unshipped		Long Beach=0
A+1:12197NXK:D	53	Unshipped		Long Beach=53
A+1:12208NXK:D	707	Unshipped		Long Beach=707
A+1:12220NXK:D	125	Unshipped		Long Beach=125
A+1:12223NXK:D	318	Unshipped		Long Beach=318
A+1:12224NXK:D	165	Unshipped		Long Beach=165
A+1:12226NXK:D	80	Unshipped		Long Beach=80
A+1:12227NXK:D	64	Unshipped		Long Beach=64
A+1:12228NXK:D	168	Unshipped		Long Beach=168
A+1:12259NXK:D	950	Unshipped		Long Beach=950
A+1:12261NXK:D	850	Unshipped		Long Beach=850
A+1:12291NXK:D	0	Unshipped		Long Beach=0
A+1:12300NXK:D	0	Unshipped		Long Beach=0
A+1:12302NXK:D	132	Unshipped		Long Beach=132
A+1:12303NXK:D	139	Unshipped		Long Beach=139
A+1:12310NXK:D	376	Unshipped		Long Beach=376
A+1:12311NXK:D	0	Unshipped		Long Beach=0
A+1:12312NXK:D	383	Unshipped		Long Beach=383
A+1:12315NXK:D	121	Unshipped		Long Beach=121
A+1:12329NXK:D	10	Unshipped		Long Beach=10
A+1:12330NXK:D	91	Unshipped		Long Beach=91
A+1:12331NXK:D	117	Unshipped		Long Beach=117
A+1:12332NXK:D	386	Unshipped		Long Beach=386
A+1:12333NXK:D	111	Unshipped		Long Beach=111
A+1:12334NXK:D	79	Unshipped		Long Beach=79
A+1:12335NXK:D	11	Unshipped		Long Beach=11
A+1:12338NXK:D	80	Unshipped		Long Beach=80
A+1:12344NXK:D	241	Unshipped		Long Beach=241
A+1:12345NXK:D	215	Unshipped		Long Beach=215
A+1:12346NXK:D	16	Unshipped		Long Beach=16
A+1:12347NXK:D	198	Unshipped		Long Beach=198
A+1:12348NXK:D	69	Unshipped		Long Beach=69
A+1:12349NXK:D	49	Unshipped		Long Beach=49
A+1:12350NXK:D	785	Unshipped		Long Beach=785
A+1:12351NXK:D	547	Unshipped		Long Beach=547
A+1:12353NXK:D	78	Unshipped		Long Beach=78
A+1:12358NXK:D	145	Unshipped		Long Beach=145
A+1:12359NXK:D	40	Unshipped		Long Beach=40
A+1:12360NXK:D	0	Unshipped		Long Beach=0
A+1:12404NXK:D	762	Unshipped		Long Beach=762
A+1:12406NXK:D	103	Unshipped		Long Beach=103
A+1:12407NXK:D	40	Unshipped		Long Beach=40
A+1:12473NXK:D	343	Unshipped		Long Beach=343
A+1:12474NXK:D	61	Unshipped		Long Beach=61
A+1:12475NXK:D	42	Unshipped		Long Beach=42
A+1:12478NXK:D	301	Unshipped		Long Beach=301
A+1:12479NXK:D	130	Unshipped		Long Beach=130
A+1:12481NXK:D	142	Unshipped		Long Beach=142
A+1:12482NXK:D	42	Unshipped		Long Beach=42
A+1:12493NXK:D	279	Unshipped		Long Beach=279
A+1:12497NXK:D	725	Unshipped		Long Beach=725
A+1:12525NXK:D	457	Unshipped		Long Beach=457
A+1:12526NXK:D	16	Unshipped		Long Beach=16
A+1:12528NXK:D	6	Unshipped		Long Beach=6
A+1:12540NXK:D	850	Unshipped		Long Beach=850
A+1:12541NXK:D	850	Unshipped		Long Beach=850
A+1:12547NXK:D	38	Unshipped		Long Beach=38
A+1:12570NXK:D	850	Unshipped		Long Beach=850
A+1:12580NXK:D	3	Unshipped		Long Beach=3
A+1:12584NXK:D	101	Unshipped		Long Beach=101
A+1:12585NXK:D	389	Unshipped		Long Beach=389
A+1:12586NXK:D	86	Unshipped		Long Beach=86
A+1:12590NXK:D	21	Unshipped		Long Beach=21
A+1:12591NXK:D	850	Unshipped		Long Beach=850
A+1:12592NXK:D	200	Unshipped		Long Beach=200
A+1:12600NXK:D	212	Unshipped		Long Beach=212
A+1:12605NXK:D	850	Unshipped		Long Beach=850
A+1:12606NXK:D	0	Unshipped		Long Beach=0
A+1:12607NXK:D	69	Unshipped		Long Beach=69
A+1:12608NXK:D	555	Unshipped		Long Beach=555
A+1:12609NXK:D	19	Unshipped		Long Beach=19
A+1:12610NXK:D	16	Unshipped		Long Beach=16
A+1:12611NXK:D	62	Unshipped		Long Beach=62
A+1:12612NXK:D	850	Unshipped		Long Beach=850
A+1:12613NXK:D	850	Unshipped		Long Beach=850
A+1:12615NXK:D	358	Unshipped		Long Beach=358
A+1:12616NXK:D	30	Unshipped		Long Beach=30
A+1:12617NXK:D	373	Unshipped		Long Beach=373
A+1:12618NXK:D	0	Unshipped		Long Beach=0
A+1:12685NXK:D	850	Unshipped		Long Beach=850
A+1:12692NXK:D	47	Unshipped		Long Beach=47
A+1:12693NXK:D	168	Unshipped		Long Beach=168
A+1:12694NXK:D	850	Unshipped		Long Beach=850
A+1:12695NXK:D	269	Unshipped		Long Beach=269
A+1:12696NXK:D	521	Unshipped		Long Beach=521
A+1:12716NXK:D	159	Unshipped		Long Beach=159
A+1:12717NXK:D	58	Unshipped		Long Beach=58
A+1:12718NXK:D	0	Unshipped		Long Beach=0
A+1:12719NXK:D	82	Unshipped		Long Beach=82
A+1:12721NXK:D	124	Unshipped		Long Beach=124
A+1:12722NXK:D	0	Unshipped		Long Beach=0
A+1:12723NXK:D	110	Unshipped		Long Beach=110
A+1:12725NXK:D	59	Unshipped		Long Beach=59
A+1:12726NXK:D	161	Unshipped		Long Beach=161
A+1:12728NXK:D	50	Unshipped		Long Beach=50
A+1:12729NXK:D	850	Unshipped		Long Beach=850
A+1:12730NXK:D	18	Unshipped		Long Beach=18
A+1:12731NXK:D	82	Unshipped		Long Beach=82
A+1:12734NXK:D	99	Unshipped		Long Beach=99
A+1:12735NXK:D	850	Unshipped		Long Beach=850
A+1:12738NXK:D	850	Unshipped		Long Beach=850
A+1:12740NXK:D	850	Unshipped		Long Beach=850
A+1:12743NXK:D	621	Unshipped		Long Beach=621
A+1:12744NXK:D	809	Unshipped		Long Beach=809
A+1:12745NXK:D	192	Unshipped		Long Beach=192
A+1:12746NXK:D	245	Unshipped		Long Beach=245
A+1:12748NXK:D	778	Unshipped		Long Beach=778
A+1:12750NXK:D	620	Unshipped		Long Beach=620
A+1:12753NXK:D	142	Unshipped		Long Beach=142
A+1:12754NXK:D	0	Unshipped		Long Beach=0
A+1:12758NXK:D	907	Unshipped		Long Beach=907
A+1:12759NXK:D	981	Unshipped		Long Beach=981
A+1:12760NXK:D	538	Unshipped		Long Beach=538
A+1:12764NXK:D	398	Unshipped		Long Beach=398
A+1:12771NXK:D	448	Unshipped		Long Beach=448
A+1:12774NXK:D	367	Unshipped		Long Beach=367
A+1:12780NXK:D	326	Unshipped		Long Beach=326
A+1:12783NXK:D	897	Unshipped		Long Beach=897
A+1:12784NXK:D	847	Unshipped		Long Beach=847
A+1:12785NXK:D	102	Unshipped		Long Beach=102
A+1:12791NXC:D	0	Unshipped		Long Beach=0
A+1:12803NXC:D	0	Unshipped		Long Beach=0
A+1:12812NXK:D	147	Unshipped		Long Beach=147
A+1:12817NXK:D	364	Unshipped		Long Beach=364
A+1:12840NXK:D	393	Unshipped		Long Beach=393
A+1:12841NXK:D	850	Unshipped		Long Beach=850
A+1:12842NXK:D	94	Unshipped		Long Beach=94
A+1:12863NXK:D	850	Unshipped		Long Beach=850
A+1:12909NXK:D	723	Unshipped		Long Beach=723
A+1:12910NXK:D	28	Unshipped		Long Beach=28
A+1:12911NXK:D	950	Unshipped		Long Beach=950
A+1:12939NXK:D	153	Unshipped		Long Beach=153
A+1:12942NXK:D	0	Unshipped		Long Beach=0
A+1:12944NXK:D	277	Unshipped		Long Beach=277
A+1:12947NXK:D	421	Unshipped		Long Beach=421
A+1:12957NXK:D	0	Unshipped		Long Beach=0
A+1:12959NXK:D	451	Unshipped		Long Beach=451
A+1:12961NXK:D	331	Unshipped		Long Beach=331
A+1:13005NXC:D	220	Unshipped		Long Beach=220
A+1:13009NXC:D	140	Unshipped		Long Beach=140
A+1:13014NXK:D	850	Unshipped		Long Beach=850
A+1:13040NXK:D	184	Unshipped		Long Beach=184
A+1:13041NXK:D	176	Unshipped		Long Beach=176
A+1:13042NXK:D	445	Unshipped		Long Beach=445
A+1:13043NXK:D	97	Unshipped		Long Beach=97
A+1:13044NXK:D	413	Unshipped		Long Beach=413
A+1:13045NXK:D	404	Unshipped		Long Beach=404
A+1:13046NXK:D	276	Unshipped		Long Beach=276
A+1:13047NXK:D	377	Unshipped		Long Beach=377
A+1:13048NXK:D	765	Unshipped		Long Beach=765
