Inventory Number	Quantity	Quantity Update Type	DC Quantity
A+1:5517012:D	12	Unshipped	Long Beach=12
A+1:5517014:D	2	Unshipped	Long Beach=2
A+1:5517000:D	24	Unshipped	Long Beach=24
A+1:5517032:D	1	Unshipped	Long Beach=1
A+1:SRH41:D	61	Unshipped	Long Beach=61
A+1:SRH27:D	18	Unshipped	Long Beach=18
A+1:5517018:D	2	Unshipped	Long Beach=2
A+1:SRH28:D	104	Unshipped	Long Beach=104
A+1:SRV30:D	124	Unshipped	Long Beach=124
A+1:SRH43:D	41	Unshipped	Long Beach=41
A+1:SRH22:D	8	Unshipped	Long Beach=8
A+1:5517082:D	2	Unshipped	Long Beach=2
A+1:SRW58:D	156	Unshipped	Long Beach=156
A+1:SRW51:D	5	Unshipped	Long Beach=5
A+1:SRV81:D	6	Unshipped	Long Beach=6
A+1:SRH48:D	153	Unshipped	Long Beach=153
A+1:SRW53:D	84	Unshipped	Long Beach=84
A+1:5517023:D	1	Unshipped	Long Beach=1
A+1:SRW42:D	43	Unshipped	Long Beach=43
A+1:SRV18:D	66	Unshipped	Long Beach=66
A+1:SRV54:D	1	Unshipped	Long Beach=1
A+1:5517068:D	1	Unshipped	Long Beach=1
A+1:SRW72:D	186	Unshipped	Long Beach=186
A+1:SRV98:D	6	Unshipped	Long Beach=6
A+1:SRW83:D	45	Unshipped	Long Beach=45
A+1:SRH55:D	8	Unshipped	Long Beach=8
A+1:5517052:D	15	Unshipped	Long Beach=15
A+1:5517025:D	1	Unshipped	Long Beach=1
A+1:SRW79:D	50	Unshipped	Long Beach=50
A+1:SRV48:D	8	Unshipped	Long Beach=8
A+1:SRV67:D	8	Unshipped	Long Beach=8
A+1:SRV52:D	64	Unshipped	Long Beach=64
A+1:5517038:D	16	Unshipped	Long Beach=16
A+1:SRW90:D	3	Unshipped	Long Beach=3
A+1:SRV70:D	12	Unshipped	Long Beach=12
A+1:SRV57:D	3	Unshipped	Long Beach=3
A+1:SRW56:D	24	Unshipped	Long Beach=24
A+1:5517027:D	3	Unshipped	Long Beach=3
A+1:SRW71:D	19	Unshipped	Long Beach=19
A+1:5517072:D	156	Unshipped	Long Beach=156
A+1:5517044:D	1	Unshipped	Long Beach=1
A+1:5517074:D	60	Unshipped	Long Beach=60
A+1:SRH76:D	18	Unshipped	Long Beach=18
A+1:SRW50:D	22	Unshipped	Long Beach=22
A+1:5517076:D	8	Unshipped	Long Beach=8
A+1:SRW89:D	36	Unshipped	Long Beach=36
A+1:SRW66:D	74	Unshipped	Long Beach=74
A+1:SRV34:D	44	Unshipped	Long Beach=44
A+1:SRW78:D	48	Unshipped	Long Beach=48
A+1:SRW99:D	8	Unshipped	Long Beach=8
A+1:SRH74:D	2	Unshipped	Long Beach=2
A+1:SRV77:D	84	Unshipped	Long Beach=84
A+1:SRW69:D	30	Unshipped	Long Beach=30
A+1:SRW14:D	149	Unshipped	Long Beach=149
A+1:SRV92:D	4	Unshipped	Long Beach=4
A+1:SRW97:D	2	Unshipped	Long Beach=2
A+1:5517080:D	1	Unshipped	Long Beach=1
A+1:5517094:D	1	Unshipped	Long Beach=1
A+1:SRW25:D	3	Unshipped	Long Beach=3
A+1:SRW82:D	30	Unshipped	Long Beach=30
A+1:SRW17:D	24	Unshipped	Long Beach=24
A+1:SRW84:D	34	Unshipped	Long Beach=34
A+1:SRW13:D	51	Unshipped	Long Beach=51
A+1:SRW19:D	8	Unshipped	Long Beach=8
A+1:SRW20:D	18	Unshipped	Long Beach=18
A+1:SRW96:D	12	Unshipped	Long Beach=12
A+1:SRW26:D	14	Unshipped	Long Beach=14
A+1:SRW86:D	2	Unshipped	Long Beach=2
A+1:SRH73:D	4	Unshipped	Long Beach=4
A+1:SRW94:D	2	Unshipped	Long Beach=2
A+1:SRH87:D	7	Unshipped	Long Beach=7
A+1:SRV80:D	2	Unshipped	Long Beach=2
A+1:SRW91:D	2	Unshipped	Long Beach=2
A+1:SRW93:D	8	Unshipped	Long Beach=8
A+1:SRW35:D	2	Unshipped	Long Beach=2
A+1:SUW05:D	1	Unshipped	Long Beach=1
A+1:STT24U:D	0	Unshipped	Long Beach=0
A+1:STT27:D	1	Unshipped	Long Beach=1
A+1:STT28U:D	31	Unshipped	Long Beach=31
A+1:STT73:D	0	Unshipped	Long Beach=0
A+1:STT41:D	1	Unshipped	Long Beach=1
A+1:5515910:D	12	Unshipped	Long Beach=12
A+1:STT44:D	1	Unshipped	Long Beach=1
A+1:STH43:D	2	Unshipped	Long Beach=2
A+1:ELT41:D	12	Unshipped	Long Beach=12
A+1:ELT27:D	8	Unshipped	Long Beach=8
A+1:5515940:D	41	Unshipped	Long Beach=41
A+1:STH61U:D	105	Unshipped	Long Beach=105
A+1:ELT28:D	12	Unshipped	Long Beach=12
A+1:STT43U:D	12	Unshipped	Long Beach=12
A+1:STT48U:D	64	Unshipped	Long Beach=64
A+1:5515928U:D	22	Unshipped	Long Beach=22
A+1:STT42U:D	25	Unshipped	Long Beach=25
A+1:STT55U:D	75	Unshipped	Long Beach=75
A+1:STT52U:D	26	Unshipped	Long Beach=26
A+1:5517048:D	0	Unshipped	Long Beach=0
A+1:5517905:D	134	Unshipped	Long Beach=134
A+1:ELT61:D	10	Unshipped	Long Beach=10
A+1:ELT48:D	12	Unshipped	Long Beach=12
A+1:STH57:D	0	Unshipped	Long Beach=0
A+1:ELV61:D	4	Unshipped	Long Beach=4
A+1:ELT55:D	4	Unshipped	Long Beach=4
A+1:5517912:D	8	Unshipped	Long Beach=8
A+1:ELV48:D	20	Unshipped	Long Beach=20
A+1:ELT52:D	20	Unshipped	Long Beach=20
A+1:STH77U:D	286	Unshipped	Long Beach=286
A+1:STT88:D	0	Unshipped	Long Beach=0
A+1:5517913:D	44	Unshipped	Long Beach=44
A+1:ELV52:D	8	Unshipped	Long Beach=8
A+1:STL08U:D	1	Unshipped	Long Beach=1
A+1:ELV56:D	0	Unshipped	Long Beach=0
A+1:STV42:D	8	Unshipped	Long Beach=8
A+1:ELW25:D	6	Unshipped	Long Beach=6
A+1:ELW21:D	20	Unshipped	Long Beach=20
A+1:STH01U:D	9	Unshipped	Long Beach=9
A+1:ELW19:D	4	Unshipped	Long Beach=4
A+1:ELT96:D	4	Unshipped	Long Beach=4
A+1:5518062:D	0	Unshipped	Long Beach=0
A+1:ELH76:D	6	Unshipped	Long Beach=6
A+1:ECT16:D	8	Unshipped	Long Beach=8
A+1:STL67U:D	12	Unshipped	Long Beach=12
A+1:5517928:D	8	Unshipped	Long Beach=8
A+1:ELW50:D	6	Unshipped	Long Beach=6
A+1:STL68U:D	33	Unshipped	Long Beach=33
A+1:STV03U:D	57	Unshipped	Long Beach=57
A+1:ELV71:D	14	Unshipped	Long Beach=14
A+1:ECH77:D	12	Unshipped	Long Beach=12
A+1:ELV42:D	4	Unshipped	Long Beach=4
A+1:STL36U:D	4	Unshipped	Long Beach=4
A+1:5517962:D	9	Unshipped	Long Beach=9
A+1:ELV69:D	0	Unshipped	Long Beach=0
A+1:STL59U:D	6	Unshipped	Long Beach=6
A+1:5517908:D	18	Unshipped	Long Beach=18
A+1:5517934:D	11	Unshipped	Long Beach=11
A+1:5517930:D	9	Unshipped	Long Beach=9
A+1:ELV13:D	6	Unshipped	Long Beach=6
A+1:5517935:D	70	Unshipped	Long Beach=70
A+1:ECT67:D	8	Unshipped	Long Beach=8
A+1:SRW64:D	0	Unshipped	Long Beach=0
A+1:SRW85:D	0	Unshipped	Long Beach=0
A+1:5517964:D	7	Unshipped	Long Beach=7
A+1:ECT59:D	12	Unshipped	Long Beach=12
A+1:ELW02:D	2	Unshipped	Long Beach=2
A+1:5517936:D	30	Unshipped	Long Beach=30
A+1:5517921:D	9	Unshipped	Long Beach=9
A+1:ECT05:D	8	Unshipped	Long Beach=8
A+1:5517956:D	8	Unshipped	Long Beach=8
A+1:ECH49:D	6	Unshipped	Long Beach=6
A+1:5517937:D	12	Unshipped	Long Beach=12
A+1:5517957:D	5	Unshipped	Long Beach=5
A+1:5517678:D	14	Unshipped	Long Beach=14
A+1:5517949:D	11	Unshipped	Long Beach=11
A+1:5517938:D	8	Unshipped	Long Beach=8
A+1:5517970:D	12	Unshipped	Long Beach=12
A+1:ECT91:D	8	Unshipped	Long Beach=8
A+1:5521480:D	3	Unshipped	Long Beach=3
A+1:5521416:D	5	Unshipped	Long Beach=5
A+1:ECV36:D	8	Unshipped	Long Beach=8
A+1:5517942:D	8	Unshipped	Long Beach=8
A+1:5517958:D	9	Unshipped	Long Beach=9
A+1:5518082:D	1	Unshipped	Long Beach=1
A+1:5517682:D	14	Unshipped	Long Beach=14
A+1:5521435:D	4	Unshipped	Long Beach=4
A+1:5517981:D	5	Unshipped	Long Beach=5
A+1:5517943:D	9	Unshipped	Long Beach=9
A+1:5517952:D	9	Unshipped	Long Beach=9
A+1:5517975:D	2	Unshipped	Long Beach=2
A+1:5517976:D	2	Unshipped	Long Beach=2
A+1:5517960:D	2	Unshipped	Long Beach=2
A+1:SUW15:D	10	Unshipped	Long Beach=10
A+1:STT62U:D	16	Unshipped	Long Beach=16
A+1:STT27U:D	85	Unshipped	Long Beach=85
A+1:STT38U:D	22	Unshipped	Long Beach=22
A+1:STT73U:D	12	Unshipped	Long Beach=12
A+1:STT41U:D	12	Unshipped	Long Beach=12
A+1:ELT73:D	8	Unshipped	Long Beach=8
A+1:STT44U:D	35	Unshipped	Long Beach=35
A+1:STH43U:D	19	Unshipped	Long Beach=19
A+1:5517062:D	0	Unshipped	Long Beach=0
A+1:5517070:D	0	Unshipped	Long Beach=0
A+1:STT32U:D	1	Unshipped	Long Beach=1
A+1:ELH41:D	4	Unshipped	Long Beach=4
A+1:STT43:D	0	Unshipped	Long Beach=0
A+1:ELH28:D	16	Unshipped	Long Beach=16
A+1:ELT44:D	64	Unshipped	Long Beach=64
A+1:ELH44:D	56	Unshipped	Long Beach=56
A+1:STT55:D	62	Unshipped	Long Beach=62
A+1:STT52:D	0	Unshipped	Long Beach=0
A+1:STT97U:D	143	Unshipped	Long Beach=143
A+1:5515928:D	82	Unshipped	Long Beach=82
A+1:5517036:D	0	Unshipped	Long Beach=0
A+1:5517051:D	0	Unshipped	Long Beach=0
A+1:ELH61:D	8	Unshipped	Long Beach=8
A+1:STH57U:D	6	Unshipped	Long Beach=6
A+1:5517906:D	89	Unshipped	Long Beach=89
A+1:ELH48:D	4	Unshipped	Long Beach=4
A+1:STH76U:D	48	Unshipped	Long Beach=48
A+1:STT95:D	1	Unshipped	Long Beach=1
A+1:ELT42:D	13	Unshipped	Long Beach=13
A+1:ELT97:D	8	Unshipped	Long Beach=8
A+1:STT88U:D	3	Unshipped	Long Beach=3
A+1:STT96U:D	60	Unshipped	Long Beach=60
A+1:ELW90:D	0	Unshipped	Long Beach=0
A+1:5517914:D	32	Unshipped	Long Beach=32
A+1:ECT12:D	8	Unshipped	Long Beach=8
A+1:5517915:D	27	Unshipped	Long Beach=27
A+1:ELH42:D	16	Unshipped	Long Beach=16
A+1:ELT95:D	7	Unshipped	Long Beach=7
A+1:ELW54:D	4	Unshipped	Long Beach=4
A+1:ECT76:D	4	Unshipped	Long Beach=4
A+1:5517927:D	45	Unshipped	Long Beach=45
A+1:ELH57:D	6	Unshipped	Long Beach=6
A+1:ELT99:D	0	Unshipped	Long Beach=0
A+1:ECT53:D	15	Unshipped	Long Beach=15
A+1:ELV58:D	4	Unshipped	Long Beach=4
A+1:ELT07:D	0	Unshipped	Long Beach=0
A+1:ECT77:D	6	Unshipped	Long Beach=6
A+1:ELT88:D	6	Unshipped	Long Beach=6
A+1:5517918:D	12	Unshipped	Long Beach=12
A+1:ELV66:D	16	Unshipped	Long Beach=16
A+1:ELV88:D	20	Unshipped	Long Beach=20
A+1:5517907:D	38	Unshipped	Long Beach=38
A+1:5517903:D	2	Unshipped	Long Beach=2
A+1:5517662:D	0	Unshipped	Long Beach=0
A+1:ELH89:D	4	Unshipped	Long Beach=4
A+1:STL49U:D	76	Unshipped	Long Beach=76
A+1:STL91U:D	8	Unshipped	Long Beach=8
A+1:ELV03:D	16	Unshipped	Long Beach=16
A+1:5517946:D	2	Unshipped	Long Beach=2
A+1:5517932:D	24	Unshipped	Long Beach=24
A+1:ELW14:D	6	Unshipped	Long Beach=6
A+1:ELW78:D	4	Unshipped	Long Beach=4
A+1:5517920:D	15	Unshipped	Long Beach=15
A+1:5517910:D	18	Unshipped	Long Beach=18
A+1:5521421:D	14	Unshipped	Long Beach=14
A+1:5517963:D	20	Unshipped	Long Beach=20
A+1:5521450:D	0	Unshipped	Long Beach=0
A+1:ECH72:D	5	Unshipped	Long Beach=5
A+1:5517945:D	10	Unshipped	Long Beach=10
A+1:ELW55:D	4	Unshipped	Long Beach=4
A+1:5518042:D	0	Unshipped	Long Beach=0
A+1:ELW84:D	4	Unshipped	Long Beach=4
A+1:ELW17:D	4	Unshipped	Long Beach=4
A+1:ECH09:D	1	Unshipped	Long Beach=1
A+1:ECT68:D	8	Unshipped	Long Beach=8
A+1:5517923:D	6	Unshipped	Long Beach=6
